,Date,User,Tweet
0,2019-05-18 06:59:40+00:00,RahulGandhi,Greetings &amp; Best Wishes on the auspicious occasion of #BuddhaPurnima
1,2019-05-17 12:39:41+00:00,RahulGandhi,Congratulations Modi Ji. Excellent Press Conference! Showing up is half the battle. Next time Mr Shah may even allow you to answer a couple of questions. Well done! 👍
2,2019-05-14 10:11:18+00:00,RahulGandhi,"🇮🇳 🇮🇳 🇮🇳 I'm pushing for a new language in politics. 

Let's fight each other brutally  on issues. Let's fight hard on ideology. 

But...

Let's not use hatred and violence against each other. It's bad for 🇮🇳 🇮🇳 🇮🇳."
3,2019-05-09 16:01:12+00:00,RahulGandhi,"Dear Mr Modi,

Your recent statements, interviews &amp; videos are giving India the distinct feeling that you’re cracking under presssure. 

You are, however, certainly right to be nervous about the results."
4,2019-05-05 05:45:31+00:00,RahulGandhi,"Modi Ji,

The battle is over. Your Karma awaits you. Projecting your inner beliefs about yourself onto my father won’t protect you. 

All my love and a huge hug. 

Rahul"
5,2019-05-02 17:28:07+00:00,RahulGandhi,"As #CycloneFani approaches, I urge Congress workers in Odisha, Andhra &amp; West Bengal to warn people in their surrounding areas of the approaching danger &amp; to help those in need. 

Stay safe. This danger will soon pass. You are in my thoughts &amp; prayers tonight🙏"
6,2019-05-01 04:42:14+00:00,RahulGandhi,My best wishes and greetings to the people of Gujarat on #GujaratDay.
7,2019-05-01 04:40:48+00:00,RahulGandhi,My best wishes and greetings to the people of Maharashtra on #MaharashtraDay
8,2019-04-21 09:12:56+00:00,RahulGandhi,"I’m saddened &amp; disturbed by reports of multiple bomb blasts in #Colombo in which over 100 people have died &amp; more than 300 injured. 

I strongly condemn this diabolical act of terrorism. 

My condolences to the families of the victims. I pray the injured make a speedy recovery."
9,2019-04-19 13:13:10+00:00,RahulGandhi,Hemant Karkare gave his life protecting India. He must be treated with respect.
10,2019-04-15 12:20:13+00:00,RahulGandhi,"An alliance between the Congress &amp; AAP in Delhi would mean the rout of the BJP. The Congress is willing to give up 4 Delhi seats to the AAP to ensure this. 

But, Mr Kejriwal has done yet another U turn! 

Our doors are still open, but the clock is running out. 

#AbAAPkiBaari"
11,2019-04-14 04:14:35+00:00,RahulGandhi,"On Dr Babasaheb Ambedkar’s jayanti, let us re-dedicate ourselves to the 4 universal values of JUSTICE, LIBERTY, EQUALITY &amp; FRATERNITY enshrined in our Constitution. 

Those who pay him tributes on this day, while insidiously weakening these values, do his memory disservice."
12,2019-04-09 18:47:21+00:00,RahulGandhi,"I’m sorry to hear about the passing of Shri K M Mani, a highly respected &amp; beloved leader of the Kerala Congress who was elected MLA a record 13 times. My condolences to his family, friends &amp; supporters in this time of grief. May his soul rest in peace."
13,2019-04-09 15:09:09+00:00,RahulGandhi,"NYAY is such a powerful idea. 
Absolutely amazing resonance in the field. Even PM (Past Master) can’t stop talking about it."
14,2019-04-09 08:09:04+00:00,RahulGandhi,"Dear PM,

Scared of debating me on corruption? I can make it easier for you. 

Let’s go open book, so you can prepare:

1. RAFALE+Anil Ambani 
2. Nirav Modi 
3. Amit Shah+Demonetisation 

#Scared2Debate"
15,2019-04-09 03:14:44+00:00,RahulGandhi,"The Congress manifesto was created through discussion. The voice of over a million Indian people it is wise and powerful. 

The BJP Manifesto was created in a closed room. The voice of an isolated man, it is short sighted and arrogant."
16,2019-04-06 05:47:13+00:00,RahulGandhi,"A very happy Gudi Padwa to all of you 🌈

#GudiPadwa"
17,2019-04-06 02:58:15+00:00,RahulGandhi,"Greetings &amp; best wishes to all Indians on the auspicious occasion of Ugadi 🌈

 #HappyUgadi"
18,2019-04-06 02:35:42+00:00,RahulGandhi,"Ms Sreedhanya Suresh from Wayanad, is the first tribal girl from Kerala to be selected for the civil service.  

Sreedhanya’s hard work &amp; dedication have helped make her dream come true. 

I congratulate Sreedhanya and her family and wish her great successs in her chosen career."
19,2019-04-05 09:55:12+00:00,RahulGandhi,"Hatred is cowardice. 

I don’t care if the entire world is full of hatred. I am not a coward. 

I will not hide behind hate and anger. 

I love all living beings, including those temporarily blinded by hatred."
20,2019-04-03 12:34:56+00:00,RahulGandhi,"Our Ex-Servicemen are India’s pride &amp; must be given the respect they deserve. 

We will allow qualified Ex-Servicemen lateral entry into the Civil Services. 

The Central Armed Police Forces will be opened up to Ex-Servicemen under the age of 40."
21,2019-04-01 13:00:12+00:00,RahulGandhi,"Real smart cities are built by good leaders. 

To improve quality of life in our cities we will move to directly elected Mayors with 5 yr terms &amp; elected councils. 

Administration will be run by multidisciplinary teams of specialists &amp; experts accountable to the Mayor &amp; council."
22,2019-03-31 16:34:51+00:00,RahulGandhi,"Today, there are 22 Lakh job vacancies in Government. 

We will have these vacancies filled by 31st March, 2020. 

Devolution of funds from the Center to each State Govt for healthcare, education etc. will be linked to these vacant positions being filled."
23,2019-03-30 13:14:36+00:00,RahulGandhi,"India needs to 

1. Repair &amp; Restore our water bodies. 

2.  Regenerate &amp; Afforest wasteland &amp; degraded land. 

We will employ lakhs of rural youth in our gram sabhas to improve the environment."
24,2019-03-29 15:39:42+00:00,RahulGandhi,"If voted to power, we will scrap the NITI Aayog. It has served no purpose other than making marketing presentations for the PM &amp; fudging data. 

We will replace it with a lean Planning Commission whose members will be renowned economists &amp; experts with less than 100 staff."
25,2019-03-28 13:47:59+00:00,RahulGandhi,"Youngsters, 

Want to start a new business? Want to create jobs for India? 
Here’s our plan for you:

1. ZERO permissions for the first 3 years of any new business. 

2. Goodbye Angel Tax 

3. Solid incentives &amp; tax credits based on how many jobs you create.

4.  Easy Bank Credit"
26,2019-03-27 08:19:42+00:00,RahulGandhi,"Well done DRDO, extremely proud of your work. 

I would also like to wish the PM a very happy World Theatre Day."
27,2019-03-26 09:49:44+00:00,RahulGandhi,"They did Demonetisation and Gabbar Singh Tax. 

We ✋will give NYAY and a real GST. 

NYAY= Surgical Strike on Poverty = 72,000 Rs a year to India’s poorest 20%  

👍"
28,2019-03-25 09:54:31+00:00,RahulGandhi,"Today is a historic day..

It is on this day that the Congress party launched its final assault on poverty.

5 Crore of the poorest families in India, will receive Rs. 72,000 Per Year

#NyayForIndia is our dream &amp; our pledge. 

The time for change has come."
29,2019-03-23 15:41:01+00:00,RahulGandhi,Every Patriotic Indian is  disgusted by the video of a family in #Gurugram being mercilessly beaten by hooligans. The RSS/ BJP channelises bigotry &amp; hatred for political power. This incident serves as a warning of the dangerous consequences &amp; the dark side of that strategy.
30,2019-03-21 07:43:26+00:00,RahulGandhi,"My best wishes, on the auspicious occasion of Navroz!

Peace &amp; happiness always 🌈

#NavrozMubarak"
31,2019-03-17 14:48:04+00:00,RahulGandhi,"I am deeply saddened by the news of the passing of Goa CM, Shri Manohar Parrikar Ji, who bravely battled a debilitating illness for over a year. 

Respected and admired across party lines, he was one of Goa’s favourite sons. 

My condolences to his family in this time of grief."
32,2019-03-17 14:11:25+00:00,RahulGandhi,"You can keep trying Mr Modi,  but the truth cannot be extinguished. 

Every Indian is saying it. 

#ChowkidarChorHai 

P.S: Do force Sushma ji to add “Chowkidar” to her handle. It’s looking very bad."
33,2019-03-15 15:05:44+00:00,RahulGandhi,"The #NewZealandShooting is a despicable act of terrorism, that must be condemned unequivocally. The world stands in need of compassion &amp; understanding. Not bigotry &amp; hate filled extremism. My condolences to the families of the victims. My prayers go out to those who were injured."
34,2019-03-08 05:45:02+00:00,RahulGandhi,"While saluting the undaunted, fighting spirit of women this #InternationalWomensDay⁠, I would also like us to recommit ourselves to breaking the barriers that continue to hinder their path to freedom &amp; equality. In doing so, a better, brighter, braver world awaits us."
